symbol,timeframe,direction,confidence,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,whale_direction_score,breakout_probability,entry_price,current_price,take_profit,stop_loss,support_level,resistance_level,target_time_hours,predicted_breakout_threshold,predicted_breakout_time_hours,timestamp,status,success_metrics,confidence_level,volume_score,pattern_score,momentum_score,order_book_imbalance,top_bid_walls,top_ask_walls,market_regime,regime_note
CTSI/USDT,1h,LONG,0.3688797621083785,0,0,0,0,0.0,0.0,-0.27081220312045207,0,0.0731,0.0731,0.0749275,0.07242857142857143,0.07206642857142857,0.07530213749999999,24.0,0.025,30.6,2025-07-15 19:27:19.235303,ACTIVE,{},0,1.0,0.5,0.5,-0.18037675175821996,"[{""price"": 0.0621, ""amount"": 163225.0}, {""price"": 0.0626, ""amount"": 159744.0}, {""price"": 0.0729, ""amount"": 134862.0}]","[{""price"": 0.0765, ""amount"": 219195.0}, {""price"": 0.0792, ""amount"": 166237.0}, {""price"": 0.075, ""amount"": 138692.0}]",unknown,
CHESS/USDT,1h,LONG,0.36870468626738095,0,0,0,0,0.0,0.0,-0.7756435777751503,0,0.0766,0.0766,0.078515,0.07568928571428571,0.07531083928571428,0.078907575,24.0,0.025,30.6,2025-07-15 19:28:07.733382,ACTIVE,{},0,1.0,0.5,0.5,-0.3346804115674107,"[{""price"": 0.0721, ""amount"": 201953.9}, {""price"": 0.0737, ""amount"": 162727.1}, {""price"": 0.0762, ""amount"": 116711.0}]","[{""price"": 0.0795, ""amount"": 457126.0}, {""price"": 0.0793, ""amount"": 417507.7}, {""price"": 0.0824, ""amount"": 329481.8}]",unknown,
BONK/USDT,1h,LONG,0.3687580443386529,0,0,0,0,0.0,0.0,0.0,0,2.962e-05,2.962e-05,3.03605e-05,2.91757e-05,2.90298215e-05,3.0512302499999996e-05,24.0,0.025,30.6,2025-07-15 19:28:55.897052,ACTIVE,{},0,0.2,0.5,0.5,-0.07270028337962052,"[{""price"": 2.916e-05, ""amount"": 7648530047.0}, {""price"": 2.923e-05, ""amount"": 6574017995.0}, {""price"": 2.911e-05, ""amount"": 6063157566.0}]","[{""price"": 2.98e-05, ""amount"": 8498998213.0}, {""price"": 2.981e-05, ""amount"": 7578191736.0}, {""price"": 3e-05, ""amount"": 4597340917.0}]",unknown,
AEVO/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,0.14591775781945537,0,0.1082,0.1082,0.11090499999999999,0.10712142857142858,0.10658582142857143,0.11145952499999998,24.0,0.025,30.6,2025-07-15 19:29:25.519810,ACTIVE,{},0,0.6,0.5,0.5,0.15901440864093352,"[{""price"": 0.1062, ""amount"": 475877.56}, {""price"": 0.107, ""amount"": 395729.74}, {""price"": 0.1075, ""amount"": 168951.84}]","[{""price"": 0.11, ""amount"": 277474.03}, {""price"": 0.1089, ""amount"": 244344.69}, {""price"": 0.109, ""amount"": 116644.45}]",unknown,
BERA/USDT,1h,LONG,0.37367721017421995,0,0,0,0,0.0,0.0,0.9999999999953597,0,2.186,2.186,2.2406499999999996,2.1575,2.1467125,2.2518532499999995,24.0,0.025,30.6,2025-07-15 19:30:03.668287,ACTIVE,{},0,1.0,0.5,0.5,0.5066472637636603,"[{""price"": 2.18, ""amount"": 98855.452}, {""price"": 2.17, ""amount"": 50520.839}, {""price"": 2.146, ""amount"": 44650.352}]","[{""price"": 2.19, ""amount"": 50844.236}, {""price"": 2.2, ""amount"": 13757.031}, {""price"": 2.23, ""amount"": 9652.346}]",unknown,
CTSI/USDT,1h,LONG,0.3688797621083785,0,0,0,0,0.0,0.0,-0.47670641650321927,0,0.0741,0.0741,0.07595249999999999,0.07338214285714285,0.07301523214285714,0.07633226249999998,24.0,0.025,30.6,2025-07-15 19:32:56.685298,ACTIVE,{},0,1.0,0.5,0.5,-0.2608621825744745,"[{""price"": 0.0621, ""amount"": 161217.0}, {""price"": 0.0626, ""amount"": 159744.0}, {""price"": 0.0728, ""amount"": 151021.0}]","[{""price"": 0.077, ""amount"": 407590.0}, {""price"": 0.0765, ""amount"": 220841.0}, {""price"": 0.0757, ""amount"": 171092.0}]",unknown,
CHESS/USDT,1h,LONG,0.36870468626738095,0,0,0,0,0.0,0.0,-0.7763016373972886,0,0.0759,0.0759,0.07779749999999999,0.0749892857142857,0.07461433928571427,0.07818648749999998,24.0,0.025,30.6,2025-07-15 19:33:43.443283,ACTIVE,{},0,1.0,0.5,0.5,-0.31210508381407015,"[{""price"": 0.0725, ""amount"": 201884.3}, {""price"": 0.0757, ""amount"": 134156.3}, {""price"": 0.0736, ""amount"": 134012.6}]","[{""price"": 0.0795, ""amount"": 461083.3}, {""price"": 0.0824, ""amount"": 329481.8}, {""price"": 0.0849, ""amount"": 260376.6}]",unknown,
1000SATS/USDT,1h,LONG,0.36878642091954883,0,0,0,0,0.0,0.0,0.0,0,4.475e-05,4.475e-05,4.5868749999999993e-05,4.4319285714285707e-05,4.4097689285714275e-05,4.609809374999999e-05,24.0,0.025,30.6,2025-07-15 19:34:30.372346,ACTIVE,{},0,0.8,0.5,0.5,0.17058109112998765,"[{""price"": 4.465e-05, ""amount"": 688628036.0}, {""price"": 4.415e-05, ""amount"": 525109370.0}, {""price"": 4.421e-05, ""amount"": 164432913.0}]","[{""price"": 4.488e-05, ""amount"": 113936232.0}, {""price"": 4.472e-05, ""amount"": 112891912.0}, {""price"": 4.469e-05, ""amount"": 80334239.0}]",unknown,
BONK/USDT,1h,LONG,0.3687580443386529,0,0,0,0,0.0,0.0,0.0,0,2.986e-05,2.986e-05,3.06065e-05,2.94121e-05,2.92650395e-05,3.0759532499999995e-05,24.0,0.025,30.6,2025-07-15 19:34:54.369202,ACTIVE,{},0,0.2,0.5,0.5,0.08831766613012207,"[{""price"": 2.946e-05, ""amount"": 7652710579.0}, {""price"": 2.948e-05, ""amount"": 6467893124.0}, {""price"": 2.943e-05, ""amount"": 5867740836.0}]","[{""price"": 3e-05, ""amount"": 4845896998.0}, {""price"": 3.012e-05, ""amount"": 4100371506.0}, {""price"": 3.01e-05, ""amount"": 3187607460.0}]",unknown,
AEVO/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,0.04625974939701501,0,0.1085,0.1085,0.11121249999999999,0.10742142857142857,0.10688432142857143,0.11176856249999997,24.0,0.025,30.6,2025-07-15 19:35:39.228967,ACTIVE,{},0,0.6,0.5,0.5,0.07962661196224649,"[{""price"": 0.1065, ""amount"": 474454.08}, {""price"": 0.1079, ""amount"": 139880.14}, {""price"": 0.1067, ""amount"": 108163.32}]","[{""price"": 0.1102, ""amount"": 276157.89}, {""price"": 0.1092, ""amount"": 241831.17}, {""price"": 0.1094, ""amount"": 105806.07}]",unknown,
